weak,strong,sentence,Yes,No,answer
begin,complete,The swimmer began the lap.,The swimmer did not complete the lap.,The swimmer completed the lap.,Yes
begin,complete,The company began the construction.,The company did not complete the construction.,The company completed the construction.,Yes
begin,complete,The programmer began the coding.,The programmer did not complete the coding.,The programmer completed the coding.,Yes
begin,complete,The gardener began the planting.,The gardener did not complete the planting.,The gardener completed the planting.,Yes
begin,complete,The speaker began the lecture.,The speaker did not complete the lecture.,The speaker completed the lecture.,Yes
begin,complete,The baker began the bread-making.,The baker did not complete the bread-making.,The baker completed the bread-making.,Yes
begin,complete,The researcher began the analysis.,The researcher did not complete the analysis.,The researcher completed the analysis.,Yes
begin,complete,The director began the rehearsal.,The director did not complete the rehearsal.,The director completed the rehearsal.,Yes
begin,complete,The team began the training.,The team did not complete the training.,The team completed the training.,Yes
begin,complete,The actor began the scene.,The actor did not complete the scene.,The actor completed the scene.,Yes
begin,complete,The builder began the renovation.,The builder did not complete the renovation.,The builder completed the renovation.,Yes
begin,complete,The student began the essay.,The student did not complete the essay.,The student completed the essay.,Yes
begin,complete,The coach began the drill.,The coach did not complete the drill.,The coach completed the drill.,Yes
begin,complete,The contestant began the challenge.,The contestant did not complete the challenge.,The contestant completed the challenge.,Yes
begin,complete,The crew began the cleanup.,The crew did not complete the cleanup.,The crew completed the cleanup.,Yes
begin,complete,The nurse began the treatment.,The nurse did not complete the treatment.,The nurse completed the treatment.,Yes
begin,complete,The hiker began the ascent.,The hiker did not complete the ascent.,The hiker completed the ascent.,Yes
begin,complete,The designer began the sketch.,The designer did not complete the sketch.,The designer completed the sketch.,Yes
begin,complete,The farmer began the harvest.,The farmer did not complete the harvest.,The farmer completed the harvest.,Yes
begin,complete,The shopkeeper began the sale.,The shopkeeper did not complete the sale.,The shopkeeper completed the sale.,Yes
begin,complete,The mechanic began the repair.,The mechanic did not complete the repair.,The mechanic completed the repair.,Yes
begin,complete,The photographer began the shoot.,The photographer did not complete the shoot.,The photographer completed the shoot.,Yes
begin,complete,The volunteer began the service.,The volunteer did not complete the service.,The volunteer completed the service.,Yes
begin,complete,The architect began the blueprint.,The architect did not complete the blueprint.,The architect completed the blueprint.,Yes
begin,complete,The diver began the dive.,The diver did not complete the dive.,The diver completed the dive.,Yes
begin,complete,The traveler began the itinerary.,The traveler did not complete the itinerary.,The traveler completed the itinerary.,Yes
begin,complete,The host began the dinner.,The host did not complete the dinner.,The host completed the dinner.,Yes
begin,complete,The sculptor began the statue.,The sculptor did not complete the statue.,The sculptor completed the statue.,Yes
begin,complete,The journalist began the article.,The journalist did not complete the article.,The journalist completed the article.,Yes
begin,complete,The team began the strategy session.,The team did not complete the strategy session.,The team completed the strategy session.,Yes
begin,complete,The robot began the assembly.,The robot did not complete the assembly.,The robot completed the assembly.,Yes
begin,complete,The minister began the ceremony.,The minister did not complete the ceremony.,The minister completed the ceremony.,Yes
begin,complete,The climber began the climb.,The climber did not complete the climb.,The climber completed the climb.,Yes
begin,complete,The developer began the app.,The developer did not complete the app.,The developer completed the app.,Yes
begin,complete,The board began the discussion.,The board did not complete the discussion.,The board completed the discussion.,Yes
begin,complete,The athlete began the warm-up.,The athlete did not complete the warm-up.,The athlete completed the warm-up.,Yes
begin,complete,The manager began the presentation.,The manager did not complete the presentation.,The manager completed the presentation.,Yes
begin,complete,The team began the brainstorming.,The team did not complete the brainstorming.,The team completed the brainstorming.,Yes
begin,complete,The poet began the verse.,The poet did not complete the verse.,The poet completed the verse.,Yes
begin,complete,The child began the game.,The child did not complete the game.,The child completed the game.,Yes
begin,complete,The parent began the bedtime story.,The parent did not complete the bedtime story.,The parent completed the bedtime story.,Yes
begin,complete,The scientist began the hypothesis testing.,The scientist completed the hypothesis not testing.,The scientist completed the hypothesis testing.,Yes
begin,complete,The singer began the melody.,The singer did not complete the melody.,The singer completed the melody.,Yes
begin,complete,The worker began the installation.,The worker did not complete the installation.,The worker completed the installation.,Yes
begin,complete,The chef began the plating.,The chef did not complete the plating.,The chef completed the plating.,Yes
begin,complete,The teacher began the quiz.,The teacher did not complete the quiz.,The teacher completed the quiz.,Yes
begin,complete,The student began the test.,The student did not complete the test.,The student completed the test.,Yes
begin,complete,The couple began the wedding vows.,The couple did not complete the wedding vows.,The couple completed the wedding vows.,Yes
begin,complete,The group began the protest.,The group did not complete the protest.,The group completed the protest.,Yes
begin,complete,The programmer began the debugging.,The programmer did not complete the debugging.,The programmer completed the debugging.,Yes
begin,complete,The fisherman began the casting.,The fisherman did not complete the casting.,The fisherman completed the casting.,Yes
begin,complete,The painter began the mural.,The painter did not complete the mural.,The painter completed the mural.,Yes
begin,complete,The engineer began the troubleshooting.,The engineer did not complete the troubleshooting.,The engineer completed the troubleshooting.,Yes
begin,complete,The author began the draft.,The author did not complete the draft.,The author completed the draft.,Yes
begin,complete,The runner began the warm-up laps.,The runner did not complete the warm-up laps.,The runner completed the warm-up laps.,Yes
begin,complete,The scientist began the data collection.,The scientist did not complete the data collection.,The scientist completed the data collection.,Yes
begin,complete,The explorer began the mapping.,The explorer did not complete the mapping.,The explorer completed the mapping.,Yes
begin,complete,The investor began the negotiations.,The investor did not complete the negotiations.,The investor completed the negotiations.,Yes
begin,complete,The speaker began the announcement.,The speaker did not complete the announcement.,The speaker completed the announcement.,Yes
begin,complete,The teacher began the discussion.,The teacher did not complete the discussion.,The teacher completed the discussion.,Yes
begin,complete,The mechanic began the inspection.,The mechanic did not complete the inspection.,The mechanic completed the inspection.,Yes
begin,complete,The traveler began the packing.,The traveler did not complete the packing.,The traveler completed the packing.,Yes
begin,complete,The editor began the revisions.,The editor did not complete the revisions.,The editor completed the revisions.,Yes
begin,complete,The performer began the act.,The performer did not complete the act.,The performer completed the act.,Yes
begin,complete,The board began the voting.,The board did not complete the voting.,The board completed the voting.,Yes
begin,complete,The musician began the improvisation.,The musician did not complete the improvisation.,The musician completed the improvisation.,Yes
begin,complete,The parent began the morning routine.,The parent did not complete the morning routine.,The parent completed the morning routine.,Yes
begin,complete,The team began the defense.,The team did not complete the defense.,The team completed the defense.,Yes
begin,complete,The driver began the engine.,The driver did not complete the engine.,The driver completed the engine.,Yes
begin,complete,The committee began the review.,The committee did not complete the review.,The committee completed the review.,Yes
begin,complete,The worker began the shift.,The worker did not complete the shift.,The worker completed the shift.,Yes
begin,complete,The librarian began the book sorting.,The librarian did not complete the book sorting.,The librarian completed the book sorting.,Yes
begin,complete,The lifeguard began the rescue.,The lifeguard did not complete the rescue.,The lifeguard completed the rescue.,Yes
begin,complete,The detective began the investigation.,The detective did not complete the investigation.,The detective completed the investigation.,Yes
begin,complete,The athlete began the celebration.,The athlete did not complete the celebration.,The athlete completed the celebration.,Yes
believe,know,The teacher believes students can succeed.,The teacher knows students can not succeed.,The teacher knows students can succeed.,Yes
believe,know,She believes life is full of opportunities.,She knows life is not full of opportunities.,She knows life is full of opportunities.,Yes
believe,know,He believes the weather will improve.,He knows the weather will not improve.,He knows the weather will improve.,Yes
believe,know,The scientist believes the data is accurate.,The scientist knows the data is not accurate.,The scientist knows the data is accurate.,Yes
believe,know,The student believes the test was easy.,The student knows the test was not easy.,The student knows the test was easy.,Yes
believe,know,The doctor believes the patient will recover.,The doctor knows the patient will not recover.,The doctor knows the patient will recover.,Yes
believe,know,The team believes they can win the championship.,The team knows they can not win the championship.,The team knows they can win the championship.,Yes
